CODE_TRANS,LAYER,mean_naturalness_100,std_naturalness_100,median_naturalness_100,mean_naturalness_250,std_naturalness_250,median_naturalness_250,mean_naturalness_500,std_naturalness_500,median_naturalness_500,mean_naturalness_1000,std_naturalness_1000,median_naturalness_1000
529_bleu_lisiere,1,180.037037037037,31.6229501143852,185,177.916155419222,47.9635930943442,185,192.765274949083,44.5028820764648,203,189.133800127307,55.3713582742098,203
235_rouge_estive,1,165.759493670886,38.1791961343497,185,177.054766734279,32.3238406134607,185,179.842078451349,35.3625934130773,185,184.601197299707,35.576369224844,185
235_rouge_lisiere,1,178.675324675324,38.3918421930038,185,184.135902636916,42.5516246421,185,181.357980622131,34.9191876668722,185,187.085488597273,36.3218221713789,185
702_bleu_estive,1,178.363636363636,12.6336070991344,185,178.699186991869,29.8555288173735,185,184.018858307849,38.4795661929134,185,194.272588250286,43.6324417720146,185
702_bleu_lisiere,1,174.434210526315,37.5774062598636,185,173.374745417515,38.9247811589904,185,181.909183673469,42.806409463657,185,196.730901670705,42.7248266850649,200
564_bleu_estive,1,160.775,36.7610442588346,169,168.35318275154,35.6703839149238,185,177.226003047232,40.4390231147377,185,186.628676938749,36.480586796728,185
564_bleu_lisiere,1,192.217948717948,45.219591691161,185,169.261663286004,48.5257558060029,185,181.637843336724,45.8777631074085,185,189.835518777848,38.4499434694266,185
509_rouge_estive,1,188.307692307692,12.7543936042846,185,184.335365853658,16.6679469813612,185,180.077902240325,26.8836699742001,185,182.762953532781,34.5825235948656,185
509_rouge_lisiere,1,167.246753246753,19.2084639380974,154,177.042682926829,35.0771537436138,185,180.06023481368,40.2342736996554,185,186.168746816097,38.1115734238601,185
349_bleu_estive,1,176.705128205128,14.1784496768854,185,179.036960985626,27.9957951779055,185,182.141692150866,31.9736337732786,185,182.826773659406,40.9576336716028,185
349_bleu_lisiere,1,173.683544303797,39.8813253159532,185,178.304081632653,41.1964356452216,185,180.151685393258,47.0764159905137,185,186.858780084044,41.9270776522474,185
517_rouge_estive,1,189.556962025316,6.89844384477909,185,179.434077079107,30.2649258268442,185,181.598473282442,30.7692900286155,185,183.149312627291,36.1899792033848,185
517_rouge_lisiere,1,192.275,6.88653577642634,194,188.916155419222,23.1646353748438,194,184.64481707317,30.2758383160383,194,183.209929980903,43.1014624977046,185
369_bleu_estive,1,181.346153846153,18.2692307692307,185,183.47261663286,31.363047219322,185,185.877166156982,43.0403255253388,185,169.072164948453,56.5387142027518,185
369_bleu_lisiere,1,171.599999999999,27.4069334293349,154,200.123456790123,30.801053927261,216,183.152671755725,45.7998088736374,185,173.922567498726,51.0168992521279,185
473_rouge_estive,1,155.708860759493,42.1471658877915,169,158.884146341463,38.8209459727927,185,164.049389002036,46.9387639454476,185,177.536405295315,41.762670169238,185
473_rouge_lisiere,1,177.153846153846,51.1135179377855,185,187.965517241379,52.0345573616588,209,171.413143148242,59.6755958507838,185,175.673666793941,46.5743936955125,185
474_bleu_estive,1,170.569620253164,34.097657050177,185,178.700819672131,34.2859336350899,185,164.616751269035,45.3874781318774,185,163.142929871452,53.1435896535172,185
474_bleu_lisiere,1,133.696202531645,42.5168185427479,154,142.150406504065,56.0658525031766,154,159.766055045871,51.178325576364,179,167.538451744334,53.7405535460738,185
244_rouge_estive,1,188.224999999999,17.6528857414304,185,184.173553719008,24.8985305039348,185,189.846466700559,25.9616630362406,200,203.241278329513,35.3620219599004,200
244_rouge_lisiere,1,210.166666666666,30.6089548932681,231,215.075510204081,31.193150939846,231,221.103658536585,30.1664829559587,231,198.125095444133,49.6314388156113,200
245_bleu_estive,1,169.5625,35.0463420880125,185,167.150205761316,36.9696804641345,185,181.716539440203,37.0722224253737,185,187.239495798319,41.700797594786,185
245_bleu_lisiere,1,167.734177215189,70.0845256148041,185,199.971544715447,54.6873523528976,231,199.530788804071,46.4577259330335,200,186.478930617441,51.0119945244418,185
256_rouge_estive,1,160.933333333333,41.3174162900935,185,173.709349593495,53.5728255383485,185,188.434915773353,50.8523443396633,200,196.515939811272,43.7097970017079,200
256_rouge_lisiere,1,191.111111111111,44.5548628375078,185,195.468041237113,50.1192547858304,216,194.322810590631,51.1227474273844,200,198.778301286132,45.1904680881691,200
415_bleu_estive,1,162.602564102564,33.279831323379,169,159.215447154471,38.5573999994651,185,173.606523955147,40.7750488136569,185,188.280198776758,46.3582848724043,185
415_bleu_lisiere,1,147.743589743589,52.9604196419571,177,164.68154158215,48.2405442085211,185,179.444501018329,45.3231492366383,185,190.375715922107,48.6599828121065,200
